Designator,Mid X,Mid Y,Rotation,Layer
D1,187.5,-82.5,270.0,top
L1,180.0,-130.0,315.0,top
L2,172.5,-122.5,315.0,top
L3,165.0,-115.0,315.0,top
R1,180.0,-99.62,90.0,top
U1,170.0175,-78.0,0.0,top
