Designator,Mid X,Mid Y,Rotation,Layer
D1,47.625,-107.15625,180.0,top
D10,47.625,-32.146875,180.0,top
D2,47.625,-98.821875,180.0,top
D3,47.625,-90.4875,180.0,top
D4,47.62504,-82.153194,180.0,top
D5,47.625,-73.81875,180.0,top
D6,47.625,-65.484375,180.0,top
D7,47.625,-57.15,180.0,top
D8,47.625,-48.815625,180.0,top
D9,47.625,-40.48125,180.0,top
