Designator,Mid X,Mid Y,Rotation,Layer
D1,170.0,-110.0,0.0,top
D2,167.694077,-99.805922,225.0,top
D3,167.5,-70.12,90.0,top
D4,182.5,-83.0,270.0,top
R1,174.0,-83.84,90.0,top
R2,160.12,-125.0,180.0,top
U1,137.3975,-120.12,0.0,top
U2,181.9125,-69.442,0.0,top
